Wall time,Step,Value
1656327246.9072638,1,0.25
1656327923.375626,2,0.24161697924137115
1656328602.913436,3,0.23392434418201447
1656329284.2835827,4,0.2257457822561264
1656329969.2563922,5,0.22285901010036469
1656330655.795254,6,0.19482214748859406
1656331336.5779452,7,0.16507703065872192
1656332019.7911184,8,0.15751877427101135
1656332690.4067886,9,0.14945964515209198
1656333372.1303687,10,0.14627587795257568
1656334050.8882084,11,0.13995690643787384
1656334751.3259635,12,0.10888434201478958
1656335741.970237,13,0.10066705197095871
1656336741.4959416,14,0.07634571194648743
1656337743.7264264,15,0.07596687972545624
1656338742.478938,16,0.056827303022146225
1656339740.9202049,17,0.051210589706897736
1656340744.75138,18,0.03776202350854874
1656341743.631067,19,0.03508507460355759
1656342742.4473734,20,0.02568068914115429
1656343741.8050094,21,0.018826810643076897
1656344744.633189,22,0.01381753757596016
1656345748.0080357,23,0.010152969509363174
1656346745.835294,24,0.007464268244802952
1656347811.2870202,25,0.005486894864588976
1656348809.6255972,26,0.004031641874462366
1656349813.115184,27,0.0029635196551680565
1656350812.112146,28,0.0021781842224299908
1656351809.6672359,29,0.0016009999671950936
1656352804.9549513,30,0.0011766641400754452
1656353810.1167614,31,0.0008648091461509466
1656354810.2438798,32,0.0006357409874908626
1656355809.1307013,33,0.00046742192353121936
1656356804.113416,34,0.000343490915838629
1656357804.2418337,35,0.0002524200244806707
1656358803.041219,36,0.00018548818479757756
1656359803.5733924,37,0.00013641559053212404
1656360799.7640305,38,0.00010032326827058569
1656361801.5630875,39,7.374071719823405e-05
1656362800.2971802,40,5.416728163254447e-05
1656363796.971193,41,3.981093323091045e-05
1656364795.9448245,42,2.9271379389683716e-05
1656365798.7595558,43,2.151462103938684e-05
1656366800.343579,44,1.5811690900591202e-05
1656367797.9690976,45,1.1618813914537895e-05
1656368795.3762038,46,8.533669642929453e-06
1656369792.9746265,47,6.269342975429026e-06
1656370798.530146,48,4.604330570145976e-06
1656371798.7590084,49,3.382647719263332e-06
1656372797.5562837,50,2.4855119136191206e-06
1656373798.8557277,51,1.8255312852488714e-06
1656374798.9928186,52,1.340103608526988e-06
