Wall time,Step,Value
1656511594.7181504,1,0.25
1656513191.3052318,2,0.270869642496109
1656514024.835197,3,0.2626272737979889
1656517203.6721406,4,0.25805050134658813
1656518054.3128064,5,0.253432959318161
1656518913.6033673,6,0.26041340827941895
1656519773.4177542,7,0.26141053438186646
1656520632.7913365,8,0.2622531056404114
1656521489.9819663,9,0.26357367634773254
1656522338.7684247,10,0.2696303427219391
1656523198.2945595,11,0.2663101553916931
1656524057.0303986,12,0.26502296328544617
1656524916.6180344,13,0.2633865177631378
1656525770.169287,14,0.2656879723072052
1656526638.208712,15,0.2633255124092102
1656527504.73524,16,0.2642679512500763
1656528368.9802876,17,0.26254117488861084
1656529227.2835503,18,0.2635965049266815
1656530088.406762,19,0.26470595598220825
1656530947.2904966,20,0.26320767402648926
1656531803.4467463,21,0.26264750957489014
1656532657.7502606,22,0.26120781898498535
1656533519.795477,23,0.26198843121528625
1656534377.360405,24,0.26234376430511475
1656535236.1691842,25,0.2626614272594452
1656536084.7606957,26,0.26192986965179443
1656536946.1373699,27,0.2604321539402008
1656537801.1908624,28,0.26097211241722107
1656538655.1233838,29,0.26198193430900574
1656539513.522203,30,0.26167866587638855
1656540375.4803374,31,0.25945672392845154
1656541228.5830536,32,0.2617475390434265
1656542087.2863533,33,0.2609856426715851
1656542942.3248076,34,0.2612330913543701
1656543801.3820155,35,0.2605190575122833
1656544655.9139552,36,0.26054707169532776
1656545511.0139492,37,0.26174256205558777
1656546372.7508855,38,0.2583698034286499
1656547234.310517,39,0.2604820430278778
1656548090.4735968,40,0.26026785373687744
1656548947.6554306,41,0.26109540462493896
1656549811.1566687,42,0.26020005345344543
1656550671.7734244,43,0.2598046064376831
1656551532.5404599,44,0.2599108815193176
1656552398.0515678,45,0.25996676087379456
1656553255.0735846,46,0.25971823930740356
1656554117.7669666,47,0.25965163111686707
1656554981.622691,48,0.260067343711853
1656555842.171717,49,0.26126280426979065
1656556703.0984905,50,0.2601201832294464
1656557567.75376,51,0.2593718469142914
1656558425.3214393,52,0.2601006329059601
1656559291.3343093,53,0.26017138361930847
1656560148.6462758,54,0.25921306014060974
1656561008.731381,55,0.25980058312416077
1656561866.028166,56,0.25915470719337463
1656562666.570619,57,0.2590560019016266
1656563472.7367628,58,0.25975483655929565
1656564272.889361,59,0.25933921337127686
1656565075.9276283,60,0.26103124022483826
1656565879.1305776,61,0.2595154047012329
1656566683.7706008,62,0.26028871536254883
1656567486.078488,63,0.2602628171443939
1656568288.1799734,64,0.2598402202129364
1656569097.344492,65,0.25949418544769287
1656569905.1497626,66,0.25904586911201477
1656570710.7288868,67,0.25967758893966675
1656571518.15831,68,0.25959137082099915
1656572330.1911535,69,0.2587088346481323
1656573132.1397896,70,0.2599201500415802
1656573943.2671237,71,0.2587520182132721
1656574744.9969616,72,0.2598460614681244
1656575555.8770616,73,0.25970029830932617
1656576362.3858817,74,0.25905027985572815
1656577162.8674395,75,0.25985947251319885
1656577968.4234028,76,0.2603084444999695
1656578771.1963902,77,0.259433388710022
1656579578.5271063,78,0.25998884439468384
1656580383.199383,79,0.25967252254486084
1656581187.400309,80,0.2595829963684082
1656581997.452696,81,0.25957757234573364
1656582791.8492296,82,0.25979849696159363
1656583596.3687367,83,0.2604144811630249
1656584399.6486843,84,0.25940999388694763
1656585201.4862187,85,0.25973987579345703
1656586009.7366455,86,0.25977012515068054
1656586808.688058,87,0.25932577252388
